query,index
query,title
query,abstract
query,metamap_term_title_abstract
question,title
question,abstract
question,metamap_term_title_abstract
narrative,title
narrative,abstract
narrative,metamap_term_title_abstract
covid,title
covid,abstract
covid,metamap_term_title_abstract
lexi_query,title
lexi_query,abstract
lexi_query,metamap_term_title_abstract
lexi_question,title
lexi_question,abstract
lexi_question,metamap_term_title_abstract
lexi_narrative,title
lexi_narrative,abstract
lexi_narrative,metamap_term_title_abstract
lexi_covid,title
lexi_covid,abstract
lexi_covid,metamap_term_title_abstract
metamap_term_query,title
metamap_term_query,abstract
metamap_term_query,metamap_term_title_abstract
metamap_term_question,title
metamap_term_question,abstract
metamap_term_question,metamap_term_title_abstract
metamap_term_narrative,title
metamap_term_narrative,abstract
metamap_term_narrative,metamap_term_title_abstract
metamap_term_covid,title
metamap_term_covid,abstract
metamap_term_covid,metamap_term_title_abstract
metamap_id_query,metamap_id_title_abstract
metamap_id_question,metamap_id_title_abstract
metamap_id_narrative,metamap_id_title_abstract
metamap_id_covid,metamap_id_title_abstract
